IGHM	APP
IRF3	ANKRD40
UBC	CTNNB1
TESC	SLC9A1
HIF1A	VHL
ZNF581	NT5C
PRMT8	FBXW11
PHF1	TFCP2
PHF1	TFCP2
SORBS3	PAK2
CLK3	SCRIB
ZNF646	MDFI
GABPB1	TPD52L2
HIF1AN	INVS
SPP1	TRAF3
AGTRAP	CIAO2A
PPARA	EP300
LIMS1	BMP2K
NUDT21	CPSF7
UNC119	NISCH
SH3GL1	FAM102A
ZSCAN20	IL36G
CDK4	DNAJC9
TMEM147	LDLRAD1
BAG6	SGTA
BAG6	SGTA
BAG6	SGTA
BAG6	SGTA
BAG6	SGTA
BAG6	SGTA
BAG6	SGTA
SPOP	CUL3
SEPT1	MYO18A
NKAP	CBY1
SERF2	KRTAP10-3
SH2D3C	NEDD9
SF1	UBE2N
BEND7	C1QBP
EEF1G	KTN1
DDX17	PPP1R7
KCNRG	KCNRG
RBFOX2	MSI2
RBFOX2	MSI2
AQP5	NOTCH2NLA
NASP	HIST2H4A
CREB3	MYO5C
SALL2	NR2F2
CDK5R1	UBXN1
IFIT2	RAB11B
C5orf22	ELOF1
JUP	CTNNB1
CDK18	CBY1
GCC1	CEP57
ZNF580	TSC22D4
RCN3	PACRGL
CNNM3	KRTAP10-8
DARS	ZNF598
RILPL2	RILPL2
