TRDD2-201	TRDD2
IGHV3OR16-12-201	IGHV3OR16-12
IGHV3OR16-13-201	IGHV3OR16-13
IGHV3OR16-9-201	IGHV3OR16-9
IGHV3OR16-9-202	IGHV3OR16-9
IGKV5-2-202	IGKV5-2
IGKV1-5-202	IGKV1-5
IGKV1-6-202	IGKV1-6
IGKV3-7-202	IGKV3-7
IGKV1-8-202	IGKV1-8
IGKV1-9-202	IGKV1-9
IGKV3-11-202	IGKV3-11
IGKV1-12-202	IGKV1-12
IGKV3-15-202	IGKV3-15
IGKV1-16-202	IGKV1-16
IGKV1-17-202	IGKV1-17
IGKV3-20-202	IGKV3-20
IGKV6-21-202	IGKV6-21
IGKV2-24-202	IGKV2-24
IGKV1-27-202	IGKV1-27
IGKV2-28-202	IGKV2-28
IGKV2-30-202	IGKV2-30
IGKV1-33-204	IGKV1-33
IGKV1-33-203	IGKV1-33
IGKV1-37-202	IGKV1-37
IGKV1-39-202	IGKV1-39
IGKV2-40-204	IGKV2-40
IGKV2-40-203	IGKV2-40
TRAJ11-201	TRAJ11
TRAJ3-201	TRAJ3
TRAJ5-201	TRAJ5
TRAJ6-201	TRAJ6
TRAJ17-201	TRAJ17
TRAJ28-201	TRAJ28
TRAJ33-201	TRAJ33
TRAJ53-201	TRAJ53
TRDJ2-201	TRDJ2
TRAJ14-201	TRAJ14
TRAJ31-201	TRAJ31
TRAJ32-201	TRAJ32
TRAJ36-201	TRAJ36
TRAJ39-201	TRAJ39
TRAJ40-201	TRAJ40
TRAJ56-201	TRAJ56
TRAJ35-201	TRAJ35
TRAJ46-201	TRAJ46
TRDJ4-201	TRDJ4
TRAJ27-201	TRAJ27
TRAJ29-201	TRAJ29
TRAJ44-201	TRAJ44
TRAJ7-201	TRAJ7
TRAJ23-201	TRAJ23
TRAJ57-201	TRAJ57
TRDJ3-201	TRDJ3
TRAJ59-201	TRAJ59
TRAJ37-201	TRAJ37
TRAJ48-201	TRAJ48
TRDJ1-201	TRDJ1
TRAJ16-201	TRAJ16
TRAJ49-201	TRAJ49
TRAJ9-201	TRAJ9
TRAJ10-201	TRAJ10
TRAJ61-201	TRAJ61
TRAJ54-201	TRAJ54
TRAJ52-201	TRAJ52
TRAJ18-201	TRAJ18
TRAJ19-201	TRAJ19
TRAJ20-201	TRAJ20
TRAJ45-201	TRAJ45
TRAJ50-201	TRAJ50
TRAJ58-201	TRAJ58
TRAJ2-201	TRAJ2
TRAJ38-201	TRAJ38
TRAJ43-201	TRAJ43
TRAJ47-201	TRAJ47
TRAJ4-201	TRAJ4
TRAJ30-201	TRAJ30
TRAJ41-201	TRAJ41
TRAJ42-201	TRAJ42
TRAJ13-201	TRAJ13
TRAJ34-201	TRAJ34
TRAJ1-201	TRAJ1
TRAJ12-201	TRAJ12
TRAJ21-201	TRAJ21
TRAJ24-201	TRAJ24
TRAJ26-201	TRAJ26
TRAJ22-201	TRAJ22
TRAJ25-201	TRAJ25
TRGJP1-201	TRGJP1
TRGJ2-201	TRGJ2
TRGJ1-201	TRGJ1
TRGJP-201	TRGJP
TRGJP2-201	TRGJP2
AC239618.4-201	TRBJ1-1
